# 扫描更新时间: 2026-02-07 22:47:29
# 排除规则: 已过滤常见网页杂质文件及 txt/md

Clibor启动.reg | http://175.27.249.209/d/Clibor启动.reg
PhotoManagerBack.reg | https://alistrn2.hwb0307.com/d/softwares/Windows/注册表/PhotoManagerBack.reg
WINSCK.REG | http://218.28.112.170:5555/d/软件/大宗物料/WINSCK.REG
WPS_免登录设置.reg | http://47.83.157.204:36081/d/bat或reg/WPS_免登录设置.reg
WPS_免登录设置.reg | https://47.83.157.204/d/bat或reg/WPS_免登录设置.reg
WebClient.reg | https://alistrn2.hwb0307.com/d/softwares/WebDav/WebClient.reg
WinTime.reg | https://142.171.66.197/d/onedrive/文件夹/WinTime.reg
Windows_photo_viewer win10开启win7照片.reg | http://118.25.145.11:88/d/各种工具/Windows_photo_viewer win10开启win7照片.reg
Windows_photo_viewer win10开启win7照片.reg | http://118.25.145.11:88/d/群文件/Windows_photo_viewer win10开启win7照片.reg
changeAppData-H.reg | https://alistrn2.hwb0307.com/d/softwares/Windows/注册表/changeAppData-H.reg
changeAppData-raw.reg | https://alistrn2.hwb0307.com/d/softwares/Windows/注册表/changeAppData-raw.reg
close windows defender.reg | https://152.70.107.36/d/微软云盘/杂杂/close windows defender.reg
cn_pack.reg | https://103.136.146.29/d/Googledrive459/电脑系统相关/cn_pack.reg
disable UAC.reg | http://218.28.112.170:5555/d/软件/Advanced/disable UAC.reg
mui_AAF68885 (1).reg | http://118.25.145.11:88/d/群文件/mui_AAF68885 (1).reg
mui_AAF68885.reg | http://118.25.145.11:88/d/群文件/mui_AAF68885.reg
open windows defender.reg | https://152.70.107.36/d/微软云盘/杂杂/open windows defender.reg
outlook2019 弹出需要密码处理1(1).reg | http://183.6.111.162:666/d/工具/outlook2019 弹出需要密码处理1(1).reg
outlook2019 弹出需要密码处理2(1).reg | http://183.6.111.162:666/d/工具/outlook2019 弹出需要密码处理2(1).reg
register.reg | http://222.140.20.107:8085/d/工具应用/图文/图片去字工具/register.reg
win7 远程桌面 加密Oracle修正.reg | http://47.83.157.204:36081/d/win7 远程桌面 加密Oracle修正.reg
win7 远程桌面 加密Oracle修正.reg | https://47.83.157.204/d/win7 远程桌面 加密Oracle修正.reg
win7_8_10睡眠不断网设置工具V2.48.1.reg | https://124.221.124.3/d/天翼网盘/系统类工具/联想售后服务工具集/win7_8_10睡眠不断网设置工具V2.48.1.reg
