# 扫描更新时间: 2026-02-07 22:47:29
# 排除规则: 已过滤常见网页杂质文件及 txt/md

!)卸载清除.bat | http://27.30.64.27:121/d/0.常驻/0.压缩包/CloudMusic v2.9.4 绿色版/!)卸载清除.bat
!)添删右键菜单.bat | http://222.140.20.107:8085/d/工具应用/网络/Sublime Text_4137/!)添删右键菜单.bat
!)添删右键菜单项.bat | http://117.50.199.26:15244/d/nas/windows 工具/BCompare/!)添删右键菜单项.bat
!)添删右键菜单项.bat | https://ipas.ic-market.top/d/nas/windows 工具/BCompare/!)添删右键菜单项.bat
!)绿化.bat | http://120.26.66.68:8008/d/其他/办公软件/XMind/!)绿化.bat
!)绿化.bat | https://120.26.66.68:8009/d/其他/办公软件/XMind/!)绿化.bat
!卸载.bat | http://117.50.199.26:15244/d/nas/windows 工具/Xshell+Xftp/!卸载.bat
!卸载.bat | http://120.26.66.68:8008/d/其他/图形图像解压/Adobe Illustrator 2020/!卸载.bat
!卸载.bat | https://120.26.66.68:8009/d/其他/图形图像解压/Adobe Illustrator 2020/!卸载.bat
!卸载.bat | https://64.181.190.142:2083/d/天翼133/常用软件/Internet Download Manager/!卸载.bat
!卸载.bat | https://ipas.ic-market.top/d/nas/windows 工具/Xshell+Xftp/!卸载.bat
!绿化.bat | http://117.50.199.26:15244/d/nas/windows 工具/Xshell+Xftp/!绿化.bat
!绿化.bat | http://120.26.66.68:8008/d/其他/图形图像解压/Adobe Illustrator 2020/!绿化.bat
!绿化.bat | https://120.26.66.68:8009/d/其他/图形图像解压/Adobe Illustrator 2020/!绿化.bat
!绿化.bat | https://64.181.190.142:2083/d/天翼133/常用软件/Internet Download Manager/!绿化.bat
!绿化.bat | https://ipas.ic-market.top/d/nas/windows 工具/Xshell+Xftp/!绿化.bat
!设置密码和自动登录.bat | http://114.246.207.186:9000/d/st-bak/维护工具/!设置密码和自动登录.bat
1.bat | http://114.246.207.186:9000/d/st-bak/徐鹏/1.bat
1.bat | https://140.238.33.66/d/ios/CloudPaste/2025-04-28/1.bat
1.bat | https://47.98.114.46/d/tools/1.bat
1.bat | https://93.93.116.119/d/Jie/CLIENTE TEST/1.bat
2.bat | https://47.98.114.46/d/tools/2.bat
3.bat | https://47.98.114.46/d/tools/3.bat
3389.bat | http://222.140.20.107:8085/d/工具应用/系统/3389.bat
3DMark_AutoRun.bat | http://47.107.48.145:8001/d/auto tool/3DMARK/3DMark_AutoRun.bat
3DMark_Test.bat | http://47.107.48.145:8001/d/auto tool/3DMARK/3DMark_Test.bat
4K扇区对齐查看工具V3.71.1.bat | https://124.221.124.3/d/天翼网盘/系统类工具/联想售后服务工具集/4K扇区对齐查看工具V3.71.1.bat
4K扇区对齐查看工具V3.71.1.bat | https://124.221.124.3/d/点我进网盘/系统类工具/联想售后服务工具集/4K扇区对齐查看工具V3.71.1.bat
4K扇区对齐查看工具V3.71.1.bat | https://8.217.236.10/d/Cloud189_Family/联想售后服务工具集/4K扇区对齐查看工具V3.71.1.bat
4K扇区对齐查看工具V3.71.1.bat | https://8.217.236.10/d/访客文件夹_可上传/安装包/联想售后服务工具集/4K扇区对齐查看工具V3.71.1.bat
ACDSee.bat | http://171.95.23.159:88/d/工具/软件/ACDSee/ACDSee.bat
Base64编码.bat | http://47.83.157.204:36081/d/bat或reg/Base64编码.bat
Base64编码.bat | https://47.83.157.204/d/bat或reg/Base64编码.bat
Base64解码.bat | http://47.83.157.204:36081/d/bat或reg/Base64解码.bat
Base64解码.bat | https://47.83.157.204/d/bat或reg/Base64解码.bat
B启动报错、卡加载修复v4-fix.bat | https://35.206.195.209/d/工具/PC/novelai-webui一键包/B启动报错、卡加载修复v4-fix.bat
Cinebench_AutoRun.bat | http://47.107.48.145:8001/d/auto tool/CR23/Cinebench_AutoRun.bat
DEL.bat | http://120.26.66.68:8008/d/其他/驱动工具/IObitDriverBoosterPro_6.5.0.422_Crack/DEL.bat
DEL.bat | https://120.26.66.68:8009/d/其他/驱动工具/IObitDriverBoosterPro_6.5.0.422_Crack/DEL.bat
GetFileAllNames.bat | https://d.017.me/d/日语/GetFileAllNames.bat
IDACRACK.bat | http://47.83.157.204:36081/d/ida-pro/IDACRACK.bat
IDACRACK.bat | https://47.83.157.204/d/ida-pro/IDACRACK.bat
IIS部署(1).bat | https://93.93.116.119/d/Xu/bohao/LNPDA/IIS部署(1).bat
IIS部署.bat | https://93.93.116.119/d/TPV/Bohao/PDA3.0/IIS部署.bat
KMS 10 激活.bat | http://118.25.145.11:88/d/群文件/KMS 10 激活.bat
KMS feihua.bat | http://118.25.145.11:88/d/激活工具/KMS feihua.bat
KMS win10 反激活 (1).bat | http://118.25.145.11:88/d/群文件/KMS win10 反激活 (1).bat
