# 扫描更新时间: 2026-02-07 22:47:29
# 排除规则: 已过滤常见网页杂质文件及 txt/md

Microsoft.AV1VideoExtension_1.2.1293.0_neutral_~_8wekyb3d8bbwe.AppxBundle | https://154.40.35.180/d/Windows video mods/Microsoft.AV1VideoExtension_1.2.1293.0_neutral_~_8wekyb3d8bbwe.AppxBundle
Microsoft.GamingServices_27.99.7001.0_neutral_~_8wekyb3d8bbwe.AppxBundle | https://154.40.35.180/d/微软商店/Microsoft.GamingServices_27.99.7001.0_neutral_~_8wekyb3d8bbwe.AppxBundle
Microsoft.HEVCVideoExtension_2.1.1803.0_neutral_~_8wekyb3d8bbwe.AppxBundle | https://154.40.35.180/d/Windows video mods/Microsoft.HEVCVideoExtension_2.1.1803.0_neutral_~_8wekyb3d8bbwe.AppxBundle
Microsoft.HEVCVideoExtension_2.1.2191.0_neutral_~_8wekyb3d8bbwe.AppxBundle | https://47.238.46.254/d/🧩Software/Windows/硬件驱动/Microsoft.HEVCVideoExtension_2.1.2191.0_neutral_~_8wekyb3d8bbwe.AppxBundle
Microsoft.MPEG2VideoExtension_1.0.61931.0_neutral_~_8wekyb3d8bbwe.AppxBundle | https://154.40.35.180/d/Windows video mods/Microsoft.MPEG2VideoExtension_1.0.61931.0_neutral_~_8wekyb3d8bbwe.AppxBundle
Microsoft.VP9VideoExtensions_1.1.451.0_neutral_~_8wekyb3d8bbwe.AppxBundle | https://154.40.35.180/d/Windows video mods/Microsoft.VP9VideoExtensions_1.1.451.0_neutral_~_8wekyb3d8bbwe.AppxBundle
Microsoft.Windows.Photos_2020.20120.4004.照片安装包.AppxBundle | https://139.185.32.228/d/转存/Windows 10 不忘初心精简版/【不忘初心】Win10_21H1_19043.1165_X64_四合一[纯净精简版][2.58G](2021.8.11)/Microsoft.Windows.Photos_2020.20120.4004.照片安装包.AppxBundle
Microsoft.Windows.Photos_2020.20120.4004.照片安装包.AppxBundle | https://139.185.32.228/d/转存/Windows 10 不忘初心精简版/【不忘初心】Win10_21H1_19043.1165_X64_无更新[纯净精简版][1.94G](2021.8.12)/Microsoft.Windows.Photos_2020.20120.4004.照片安装包.AppxBundle
Microsoft.Windows.Photos_2020.20120.4004.照片安装包.AppxBundle | https://139.185.32.228/d/转存/Windows 10 不忘初心精简版/【不忘初心】Win10_21H1_19043.1237_X64_[深度精简版][1.23G](2021.9.18)/Microsoft.Windows.Photos_2020.20120.4004.照片安装包.AppxBundle
Microsoft.Windows.Photos_2020.20120.4004.照片安装包.AppxBundle | https://139.185.32.228/d/转存/Windows 10 不忘初心精简版/【不忘初心】Win10_21H1_19043.1266_X64_可更新[纯净精简版][2.45G](2021.10.6)/Microsoft.Windows.Photos_2020.20120.4004.照片安装包.AppxBundle
Microsoft.Windows.Photos_2020.20120.4004.照片安装包.AppxBundle | https://139.185.32.228/d/转存/Windows 10 不忘初心精简版/【不忘初心】Windows10 21H1 (19043.1266) X64 无更新[纯净精简版][1.87G](2021.10.7)/Microsoft.Windows.Photos_2020.20120.4004.照片安装包.AppxBundle
